goos: linux
goarch: amd64
pkg: github.com/ajnavarro/super-blockstore
cpu: 11th Gen Intel(R) Core(TM) i7-1195G7 @ 2.90GHz
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=10000/ACTION=NonExistingKey/ITER=2-8                	 1630824	       737.0 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=10000/ACTION=NonExistingKey/ITER=3-8                	 1667746	       737.1 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=DiskUsage-8                           	 3616591	       328.9 ns/op	         0 disk	       0 B/op	       0 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=Read100EventlyDistributed/ITER=1-8    	    5919	    209604 ns/op	  105600 B/op	     910 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=Read100EventlyDistributed/ITER=2-8    	    4981	    213268 ns/op	  105600 B/op	     910 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=Read100EventlyDistributed/ITER=3-8    	    5842	    208885 ns/op	  105600 B/op	     910 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=Read100ConsecutiveKeys/ITER=1-8       	    6231	    200993 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=Read100ConsecutiveKeys/ITER=2-8       	    6048	    197558 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=Read100ConsecutiveKeys/ITER=3-8       	    5618	    191490 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=NonExistingKey/ITER=1-8               	 1819682	       669.8 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=NonExistingKey/ITER=2-8               	 1807639	       666.2 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100000/ACTION=NonExistingKey/ITER=3-8               	 1803268	       655.7 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/ACTION=WriteOnBatch-8                            	  570379	      2249 ns/op	     621 B/op	       9 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/ACTION=Write-8                                   	  811704	      1675 ns/op	     378 B/op	       5 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=DiskUsage-8                         	   62748	     20359 ns/op	      9099 disk	    6796 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=Read100EventlyDistributed/ITER=1-8  	   14094	     84327 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=Read100EventlyDistributed/ITER=2-8  	   14065	     84377 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=Read100EventlyDistributed/ITER=3-8  	   14097	     84836 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=Read100ConsecutiveKeys/ITER=1-8     	   14181	     84285 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=Read100ConsecutiveKeys/ITER=2-8     	   14174	     85020 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=Read100ConsecutiveKeys/ITER=3-8     	   14154	     84642 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=NonExistingKey/ITER=1-8             	    6978	    165748 ns/op	   35162 B/op	     881 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=NonExistingKey/ITER=2-8             	    6884	    165058 ns/op	   35162 B/op	     881 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100/ACTION=NonExistingKey/ITER=3-8             	    6822	    165236 ns/op	   35162 B/op	     881 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=DiskUsage-8                        	   61958	     20385 ns/op	     81079 disk	    6796 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=Read100EventlyDistributed/ITER=1-8 	   14120	     84923 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=Read100EventlyDistributed/ITER=2-8 	   14206	     84107 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=Read100EventlyDistributed/ITER=3-8 	   14148	     83663 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=Read100ConsecutiveKeys/ITER=1-8    	   14142	     84520 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=Read100ConsecutiveKeys/ITER=2-8    	   14073	     85241 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=Read100ConsecutiveKeys/ITER=3-8    	   14150	     84653 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=NonExistingKey/ITER=1-8            	    3122	    354715 ns/op	  100597 B/op	    1581 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=NonExistingKey/ITER=2-8            	    3194	    354762 ns/op	  100598 B/op	    1581 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=1000/ACTION=NonExistingKey/ITER=3-8            	    3207	    355568 ns/op	  100597 B/op	    1581 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=DiskUsage-8                       	   61020	     20229 ns/op	    800853 disk	    6794 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=Read100EventlyDistributed/ITER=1-8         	   14106	     84871 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=Read100EventlyDistributed/ITER=2-8         	   14230	     83863 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=Read100EventlyDistributed/ITER=3-8         	   13968	     84367 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=Read100ConsecutiveKeys/ITER=1-8            	   13969	     84862 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=Read100ConsecutiveKeys/ITER=2-8            	   14040	     84999 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=Read100ConsecutiveKeys/ITER=3-8            	   14005	     84303 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=NonExistingKey/ITER=1-8                    	    2598	    419091 ns/op	  513848 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=NonExistingKey/ITER=2-8                    	    2680	    417961 ns/op	  513848 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=10000/ACTION=NonExistingKey/ITER=3-8                    	    2684	    417794 ns/op	  513848 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=DiskUsage-8                               	   61516	     20309 ns/op	   7998588 disk	    6794 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=Read100EventlyDistributed/ITER=1-8        	   13923	     83784 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=Read100EventlyDistributed/ITER=2-8        	   14119	     84626 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=Read100EventlyDistributed/ITER=3-8        	   14119	     84598 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=Read100ConsecutiveKeys/ITER=1-8           	   14038	     84666 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=Read100ConsecutiveKeys/ITER=2-8           	   14070	     84661 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=Read100ConsecutiveKeys/ITER=3-8           	   14097	     84895 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=NonExistingKey/ITER=1-8                   	    1041	   1085546 ns/op	 4709860 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=NonExistingKey/ITER=2-8                   	    1082	   1085558 ns/op	 4709856 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=10/N=100000/ACTION=NonExistingKey/ITER=3-8                   	     999	   1111290 ns/op	 4709861 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/ACTION=WriteOnBatch-8                                 	  616087	      2245 ns/op	     632 B/op	       9 allocs/op
